,Brand,Resolution,Size ,Selling Price in US dollars,Selling Price in Indian Rupees,Original Price in Indian Rupees,Percent Off,Operating System,Rating,clusters,color
0,Hisense,QLED Ultra HD,75,6499.87,499990,499990,0%,Android,4.2,2,dark purple
1,Samsung,QLED Ultra HD,65,6121.7,470900,470900,0%,Tizen,4.2,2,dark purple
2,SONY ,Ultra HD LED,65,6109.99,469999,529900,11%,Android,5.0,2,dark purple
3,Sharp ,Full HD LED,70,5848.7,449900,449900,0%,Linux,4.2,2,dark purple
4,Samsung,Full HD LED,75,5458.7,419900,419900,0%,Tizen,4.2,2,dark purple
5,Samsung,Full HD LED,65,5011.5,385500,385500,0%,Tizen,4.2,2,dark purple
6,LG ,Ultra HD LED,75,5006.29,385099,549990,30%,WebOS,4.2,2,dark purple
7,LG ,Ultra HD LED,65,4549.99,349999,499990,30%,WebOS,4.2,2,dark purple
8,LG ,Ultra HD LED,55,4224.87,324990,324990,0%,WebOS,4.6,2,dark purple
9,Samsung,QLED Ultra HD,65,4143.1,318700,399900,20%,Tizen,4.2,2,dark purple
10,Samsung,QLED Ultra HD,55,4093.7,314900,314900,0%,Tizen,4.2,2,dark purple
11,Samsung,Ultra HD LED,65,3846.7,295900,295900,0%,Tizen,4.2,2,dark purple
12,Samsung,Ultra HD LED,65,3833.7,294900,294900,0%,Tizen,4.7,2,dark purple
13,Samsung,Ultra HD LED,55,3703.7,284900,284900,0%,Tizen,3.6,2,dark purple
14,LG ,Ultra HD LED,65,3639.87,279990,399990,30%,WebOS,4.2,2,dark purple
15,Samsung,QLED Ultra HD,55,3573.7,274900,274900,0%,Tizen,5.0,2,dark purple
16,LG ,Ultra HD LED,65,3509.99,269999,339990,21%,WebOS,4.2,2,dark purple
17,Samsung,Full HD LED,55,3471.0,267000,267000,0%,Tizen,4.2,2,dark purple
18,LG ,Ultra HD LED,65,3418.99,262999,364990,28%,WebOS,4.2,2,dark purple
19,SONY ,Ultra HD LED,75,3379.99,259999,499900,48%,Android,3.7,2,dark purple
20,SONY ,Ultra HD LED,65,3379.99,259999,449900,42%,Android,4.3,2,dark purple
21,Vu,QLED Ultra HD,85,3379.99,259999,350000,26%,Android,4.4,2,dark purple
22,Samsung,QLED Ultra HD,65,3366.99,258999,419900,38%,Tizen,4.2,2,dark purple
23,LG ,Full HD LED,55,3250.0,250000,250000,0%,WebOS,4.2,2,dark purple
24,LG ,Ultra HD LED,65,3249.99,249999,409990,39%,WebOS,4.8,2,dark purple
25,Samsung,Full HD LED,55,3249.87,249990,249990,0%,Tizen,4.3,2,dark purple
26,Samsung,Full HD LED,55,3209.7,246900,246900,0%,Tizen,4.2,2,dark purple
27,Samsung,Ultra HD LED,55,3144.7,241900,241900,0%,Tizen,3.9,2,dark purple
28,Samsung,Ultra HD LED,75,3119.99,239999,394900,39%,Tizen,4.2,2,dark purple
29,Samsung,Ultra HD LED,55,2988.7,229900,229900,0%,Tizen,4.2,2,dark purple
30,Sharp ,Full HD LED,60,2988.7,229900,229900,0%,Linux,4.2,2,dark purple
31,LG ,Ultra HD LED,65,2977.0,229000,359990,36%,WebOS,4.2,2,dark purple
32,Samsung,QLED Ultra HD,65,2924.99,224999,279900,20%,Tizen,5.0,2,dark purple
33,LG ,Ultra HD LED,65,2924.99,224999,379990,41%,WebOS,5.0,2,dark purple
34,Samsung,QLED Ultra HD,65,2859.87,219990,257900,15%,Tizen,4.2,2,dark purple
35,Samsung,Full HD LED,55,2845.7,218900,218900,0%,Tizen,4.2,2,dark purple
36,Samsung,Full HD LED,60,2741.7,210900,210900,0%,Tizen,4.2,1,purple
37,LG ,Full HD LED,60,2730.0,210000,210000,0%,WebOS,4.4,1,purple
38,LG ,Full HD LED,60,2730.0,210000,210000,0%,WebOS,4.4,1,purple
39,Samsung,Ultra HD LED,55,2663.7,204900,204900,0%,Tizen,3.0,1,purple
40,LG ,Ultra HD LED,65,2599.99,199999,349990,43%,WebOS,4.4,1,purple
41,LG ,Ultra HD LED,65,2599.99,199999,349990,43%,WebOS,4.2,1,purple
42,Samsung,QLED Ultra HD,65,2599.87,199990,284990,30%,Tizen,4.2,1,purple
43,Sharp ,Full HD LED,52,2599.87,199990,199990,0%,Linux,4.2,1,purple
44,SONY ,Ultra HD LED,75,2593.38,199491,299900,33%,Linux,4.7,1,purple
45,SONY ,Ultra HD LED,65,2489.4,191492,364900,48%,Android,3.8,1,purple
46,LG ,Full HD LED,60,2470.0,190000,190000,0%,WebOS,4.8,1,purple
47,LG ,Ultra HD LED,75,2469.99,189999,284990,33%,WebOS,3.0,1,purple
48,LG ,Ultra HD LED,65,2469.99,189999,299990,37%,WebOS,2.7,1,purple
49,Samsung,Full HD LED,55,2468.7,189900,189900,0%,Tizen,4.6,1,purple
50,SONY ,Ultra HD LED,65,2339.99,179999,224900,20%,Android,4.9,1,purple
51,Samsung,Ultra HD LED,49,2338.7,179900,179900,0%,Tizen,4.3,1,purple
52,Samsung,Ultra HD LED,55,2325.7,178900,178900,0%,Tizen,3.9,1,purple
53,Samsung,Ultra HD LED,55,2320.5,178500,178500,0%,Tizen,3.8,1,purple
54,LG ,Ultra HD LED,65,2274.99,174999,209990,17%,WebOS,4.2,1,purple
55,Samsung,Ultra HD LED,75,2209.87,169990,254900,33%,Tizen,4.2,1,purple
56,SONY ,Ultra HD LED,65,2208.7,169900,239900,29%,Linux,4.2,1,purple
57,Panasonic,Ultra HD LED,55,2195.7,168900,168900,0%,Android,3.8,1,purple
58,Samsung,Ultra HD LED,65,2173.59,167199,269900,38%,Tizen,4.2,1,purple
59,LG ,Ultra HD LED,65,2144.99,164999,264990,38%,WebOS,4.7,1,purple
60,SONY ,Ultra HD LED,55,2144.99,164999,329900,50%,Android,4.7,1,purple
61,Samsung,QLED Ultra HD,55,2128.59,163738,211900,23%,Tizen,4.2,1,purple
62,Samsung,QLED Ultra HD,65,2117.7,162900,209900,22%,Tizen,4.2,1,purple
63,Samsung,Full HD LED,55,2086.5,160500,160500,0%,Tizen,4.2,1,purple
64,Samsung,Ultra HD LED,75,2079.87,159990,266900,40%,Tizen,4.2,1,purple
65,TCL ,Ultra HD LED,65,2079.87,159990,159990,0%,Android,4.2,1,purple
66,TCL ,Ultra HD LED,65,2079.87,159990,159990,0%,Android,4.2,1,purple
67,LG ,Ultra HD LED,55,2074.66,159589,189900,16%,WebOS,3.9,1,purple
68,LG ,Ultra HD LED,55,2074.66,159589,189900,16%,WebOS,3.9,1,purple
69,Samsung,QLED Ultra HD,55,2073.5,159500,244900,35%,Tizen,4.4,1,purple
70,Samsung,Ultra HD LED,65,2073.5,159500,234900,32%,Tizen,4.6,1,purple
71,iFFALCON by TCL,QLED Ultra HD,65,2040.87,156990,156990,0%,Android,4.2,1,purple
72,LG ,Ultra HD LED,55,2026.43,155879,226990,31%,WebOS,4.2,1,purple
73,Samsung,Ultra HD LED,55,2013.7,154900,154900,0%,Tizen,5.0,1,purple
74,SONY ,Ultra HD LED,65,1988.99,152999,269900,43%,Android,4.5,1,purple
75,Sharp ,Full HD LED,46,1975.87,151990,151990,0%,Linux,4.2,1,purple
76,iFFALCON by TCL,Ultra HD LED,75,1949.99,149999,239999,38%,Android,4.2,1,purple
77,LG ,Ultra HD LED,55,1949.99,149999,229990,35%,WebOS,4.3,1,purple
78,SONY ,Ultra HD LED,65,1949.99,149999,244900,39%,Android,4.7,1,purple
79,LG ,Ultra HD LED,65,1949.99,149999,219990,32%,WebOS,5.0,1,purple
80,LG ,Ultra HD LED,75,1949.87,149990,269900,44%,WebOS,4.2,1,purple
81,TCL ,QLED Ultra HD,75,1949.87,149990,399990,63%,Android,3.9,1,purple
82,SONY ,Ultra HD LED,65,1949.87,149990,184990,19%,Linux,4.3,1,purple
83,Samsung,Ultra HD LED,55,1948.7,149900,149900,0%,Tizen,4.2,1,purple
84,Samsung,QLED Ultra HD,65,1936.87,148990,259900,43%,Tizen,4.2,1,purple
85,TCL ,Ultra HD LED,65,1910.99,146999,299990,51%,Android,4.2,1,purple
86,Samsung,Ultra HD LED,49,1909.7,146900,146900,0%,Tizen,4.5,1,purple
87,Samsung,Ultra HD LED,55,1896.7,145900,145900,0%,Tizen,4.8,1,purple
88,Samsung,Full HD LED,46,1891.5,145500,145500,0%,Tizen,4.2,1,purple
89,Samsung,QLED Ultra HD,55,1884.87,144990,199990,28%,Tizen,4.2,1,purple
90,Samsung,QLED Ultra HD,65,1883.7,144900,229990,37%,Tizen,4.2,1,purple
91,TCL ,Full HD LED,75,1882.27,144790,259990,44%,Android,4.3,1,purple
92,SONY ,Ultra HD LED,65,1852.49,142499,199900,29%,Android,4.2,1,purple
93,LG ,Ultra HD LED,55,1849.08,142237,169900,16%,WebOS,5.0,1,purple
94,SONY ,Ultra HD LED,65,1830.28,140791,209900,33%,Android,4.8,1,purple
95,LG ,Ultra HD LED,65,1819.99,139999,254990,45%,WebOS,4.2,1,purple
96,Samsung,QLED Ultra HD,55,1819.87,139990,209900,33%,Tizen,4.2,1,purple
97,Samsung,Full HD LED,46,1819.87,139990,139990,0%,Tizen,4.5,1,purple
98,LG ,Ultra HD LED,55,1787.37,137490,299990,54%,WebOS,4.2,1,purple
99,Samsung,Ultra HD LED,49,1774.5,136500,136500,0%,Tizen,4.4,1,purple
100,SONY ,Ultra HD LED,55,1754.91,134993,299900,55%,Linux,4.2,1,purple
101,LG ,Ultra HD LED,55,1713.73,131825,154900,15%,WebOS,3.8,1,purple
102,LG ,Ultra HD LED,65,1689.99,129999,229900,43%,WebOS,5.0,1,purple
103,SONY ,Ultra HD LED,55,1689.87,129990,155990,17%,Linux,4.2,1,purple
104,Samsung,Ultra HD LED,49,1688.7,129900,129900,0%,Tizen,4.4,1,purple
105,Samsung,Ultra HD LED,49,1688.7,129900,129900,0%,Tizen,3.4,1,purple
106,Samsung,QLED Ultra HD,55,1676.99,128999,169900,24%,Tizen,4.6,1,purple
107,LG ,Ultra HD LED,55,1665.3,128100,209990,39%,WebOS,4.2,1,purple
108,Samsung,Ultra HD LED,50,1636.7,125900,125900,0%,Tizen,4.3,1,purple
109,LG ,Ultra HD LED,55,1624.99,124999,177990,30%,WebOS,4.4,1,purple
110,Samsung,Ultra HD LED,65,1589.89,122299,209900,42%,Tizen,4.7,1,purple
111,Samsung,QLED Ultra HD,65,1589.77,122290,222900,45%,Tizen,4.5,1,purple
112,Samsung,QLED Ultra HD,55,1585.99,121999,143900,15%,Tizen,4.3,1,purple
113,Samsung,QLED Ultra HD,65,1585.87,121990,222900,45%,Tizen,4.3,1,purple
114,LG ,Ultra HD LED,49,1572.86,120989,120990,0%,WebOS,4.4,1,purple
115,Sansui ,Ultra HD LED,55,1559.87,119990,119990,0%,Android,4.3,1,purple
116,Samsung,Full HD LED,55,1545.7,118900,118900,0%,Tizen,4.0,1,purple
117,SONY ,Ultra HD LED,65,1542.33,118641,183249,35%,Linux,4.7,1,purple
118,TCL ,Ultra HD LED,55,1520.87,116990,116990,0%,Android,4.2,1,purple
119,TCL ,Ultra HD LED,55,1520.87,116990,116990,0%,Android,4.2,1,purple
120,Vu,Ultra HD LED,65,1508.0,116000,116000,0%,Linux,4.5,1,purple
121,LG ,Ultra HD LED,55,1503.55,115658,212490,46%,WebOS,4.6,1,purple
122,LG ,Ultra HD LED,55,1494.99,114999,189990,39%,WebOS,2.7,1,purple
123,Panasonic,Ultra HD LED,65,1494.99,114999,179900,36%,Linux,4.8,1,purple
124,Lloyd ,Full HD LED,55,1494.87,114990,114990,0%,Linux,4.2,1,purple
125,SONY ,Ultra HD LED,65,1481.99,113999,179900,37%,Android,4.4,1,purple
126,iFFALCON by TCL,Ultra HD LED,55,1481.87,113990,113990,0%,Android,4.2,1,purple
127,SONY ,Ultra HD LED,65,1457.3,112100,179990,38%,Android,4.7,1,purple
128,LG ,Full HD LED,47,1456.0,112000,112000,0%,WebOS,5.0,1,purple
129,SONY ,Ultra HD LED,55,1429.99,109999,164900,33%,Android,3.6,1,purple
130,LG ,Ultra HD LED,65,1429.99,109999,209990,48%,WebOS,5.0,1,purple
131,Samsung,QLED Ultra HD,55,1377.87,105990,162900,35%,Tizen,4.2,1,purple
132,LG ,Ultra HD LED,48,1377.87,105990,110690,4%,WebOS,4.2,1,purple
133,Samsung,QLED Ultra HD,55,1377.87,105990,189990,44%,Tizen,4.2,1,purple
134,LG ,Full HD LED,47,1365.0,105000,105000,0%,WebOS,4.2,1,purple
135,TCL ,Ultra HD LED,55,1364.99,104999,239990,56%,Android,4.2,1,purple
136,Samsung,Ultra HD LED,55,1363.7,104900,104900,0%,Tizen,4.4,1,purple
137,LG ,Full HD LED,55,1351.87,103990,103990,0%,WebOS,4.2,1,purple
138,Samsung,Ultra HD LED,65,1351.87,103990,135900,23%,Tizen,4.2,1,purple
139,LG ,Ultra HD LED,48,1351.87,103990,199990,48%,WebOS,4.2,1,purple
140,Sharp ,Full HD LED,40,1351.87,103990,103990,0%,Linux,4.2,1,purple
141,Panasonic,Ultra HD LED,65,1343.59,103353,129990,20%,Linux,4.2,1,purple
142,LG ,Ultra HD LED,65,1337.57,102890,172990,41%,WebOS,5.0,1,purple
143,LG ,Ultra HD LED,49,1330.23,102325,119900,15%,WebOS,4.2,1,purple
144,LG ,Ultra HD LED,49,1330.23,102325,119900,15%,WebOS,4.2,1,purple
145,SONY ,Ultra HD LED,55,1329.77,102290,139900,27%,Android,4.2,1,purple
146,LG ,Ultra HD LED,55,1299.99,99999,166990,40%,WebOS,4.2,1,purple
147,Compaq ,QLED Ultra HD,65,1299.99,99999,229990,57%,Android,4.4,1,purple
148,Haier ,Ultra HD LED,65,1299.99,99999,149990,33%,Android,4.2,1,purple
149,LG ,Ultra HD LED,65,1299.87,99990,169990,41%,WebOS,4.5,1,purple
150,LG ,Ultra HD LED,55,1273.87,97990,139989,30%,WebOS,4.2,1,purple
151,TOSHIBA,Ultra HD LED,65,1260.99,96999,133990,28%,VIDAA,4.2,1,purple
152,LG ,Ultra HD LED,49,1235.09,95007,117900,19%,WebOS,3.4,1,purple
153,LG ,Ultra HD LED,70,1234.87,94990,169990,44%,WebOS,4.2,1,purple
154,Samsung,Ultra HD LED,65,1234.87,94990,145900,35%,Tizen,2.8,1,purple
155,LG ,Ultra HD LED,65,1221.99,93999,129990,28%,WebOS,4.5,1,purple
156,Samsung,Full HD LED,49,1202.5,92500,92500,0%,Tizen,4.1,1,purple
157,Micromax,Ultra HD LED,43,1195.87,91990,91990,0%,Android,4.0,1,purple
158,Panasonic,Ultra HD LED,65,1174.08,90314,119990,25%,Linux,4.2,1,purple
159,Panasonic,Ultra HD LED,55,1171.35,90104,178900,50%,Linux,4.2,1,purple
160,Hisense,Ultra HD LED,70,1169.99,89999,119990,25%,Android,4.4,1,purple
161,LG ,Ultra HD LED,48,1169.99,89999,169990,47%,WebOS,2.7,1,purple
162,TCL ,QLED Ultra HD,65,1169.99,89999,189990,53%,Android,4.4,1,purple
163,Samsung,Ultra HD LED,65,1169.87,89990,124990,28%,Tizen,4.2,1,purple
164,Samsung,Ultra HD LED,65,1169.87,89990,115990,22%,Tizen,4.2,1,purple
165,Samsung,QLED Ultra HD,55,1169.87,89990,163900,45%,Tizen,4.7,1,purple
166,LG ,Ultra HD LED,65,1169.71,89978,149990,40%,WebOS,4.2,1,purple
167,Samsung,Ultra HD LED,43,1168.05,89850,89850,0%,Tizen,4.1,1,purple
168,Samsung,QLED Ultra HD,55,1162.07,89390,134900,34%,Tizen,4.2,1,purple
169,Samsung,Full HD LED,46,1137.5,87500,87500,0%,Tizen,3.7,1,purple
